,polyline_point_index,coordinates,latitude,longitude,elevation_meters,elevation_gains_to_next_meters,elapsed_dist_meters,dist_to_next_coordinate_meters,true_bearing_to_next_coordinate,travel_direction
0,0.0,"(43.467879339595996, -80.56616840836313)",43.467879339595996,-80.56616840836313,311,-1.0,0.0,24.97384800127927,63.952440706067584,N64°E
1,,"(43.46797804546268, -80.5658911293861)",43.46797804546268,-80.5658911293861,310,0.0,24.97384800127927,24.973848002044363,63.95263145846684,N64°E
2,,"(43.46807675065529, -80.56561384950668)",43.46807675065529,-80.56561384950668,310,0.0,49.94769600332363,24.973848001396192,63.95282221319033,N64°E
3,,"(43.46817545517384, -80.56533656872487)",43.46817545517384,-80.56533656872487,310,0.0,74.92154400471982,24.97384800074518,63.953012969184314,N64°E
4,,"(43.46827415901829, -80.5650592870407)",43.46827415901829,-80.5650592870407,310,0.0,99.895392005465,24.973848001861693,63.95320372582219,N64°E
5,,"(43.46837286218867, -80.56478200445413)",43.46837286218867,-80.56478200445413,310,-1.0,124.8692400073267,24.973848001563653,63.95339448227353,N64°E
6,,"(43.468471564684975, -80.56450472096518)",43.468471564684975,-80.56450472096518,309,-1.0,149.84308800889033,24.973848000203034,63.953585244798404,N64°E
7,,"(43.46857026650717, -80.56422743657384)",43.46857026650717,-80.56422743657384,308,0.0,174.81693600909335,24.97384800025664,63.95377599925674,N64°E
8,,"(43.46866896765528, -80.56395015128014)",43.46866896765528,-80.56395015128014,308,1.0,199.79078400935,24.973848002428475,63.95396676034987,N64°E
9,,"(43.46876766812929, -80.56367286508403)",43.46876766812929,-80.56367286508403,309,1.0,224.76463201177847,24.97384799929873,63.95415752228582,N64°E
10,,"(43.4688663679292, -80.56339557798556)",43.4688663679292,-80.56339557798556,310,-1.0,249.7384800110772,24.973848001469975,63.954348288372415,N64°E
11,,"(43.46896506705499, -80.56311828998469)",43.46896506705499,-80.56311828998469,309,0.0,274.7123280125472,24.973848002578414,63.95453904887658,N64°E
12,,"(43.469063765506675, -80.56284100108142)",43.469063765506675,-80.56284100108142,309,0.0,299.68617601512557,24.97384800050694,63.95472981138206,N64°E
13,,"(43.46916246328424, -80.5625637112758)",43.46916246328424,-80.5625637112758,309,-1.0,324.66002401563253,24.973848001614,63.95492057833679,N64°E
14,,"(43.46926116038769, -80.56228642056779)",43.46926116038769,-80.56228642056779,308,-1.0,349.6338720172465,24.973848001306806,63.955111346347984,N64°E
15,,"(43.46935985681701, -80.56200912895738)",43.46935985681701,-80.56200912895738,307,-1.0,374.6077200185533,24.973848001705658,63.955302110928926,N64°E
16,,"(43.4694585525722, -80.56173183644461)",43.4694585525722,-80.56173183644461,306,0.0,399.581568020259,24.97384800210329,63.95549288044414,N64°E
17,,"(43.46955724765325, -80.56145454302944)",43.46955724765325,-80.56145454302944,306,-1.0,424.5554160223623,24.973848000733472,63.95568364986575,N64°E
18,,"(43.469655942060164, -80.5611772487119)",43.469655942060164,-80.5611772487119,305,-1.0,449.5292640230958,24.973848001835563,63.955874418741075,N64°E
19,,"(43.46975463579293, -80.56089995349197)",43.46975463579293,-80.56089995349197,304,-1.0,474.50311202493134,24.973848001877847,63.95606518799907,N64°E
20,,"(43.469853328851556, -80.56062265736965)",43.469853328851556,-80.56062265736965,303,0.0,499.4769600268092,24.973847999089926,63.956255966230614,N64°E
21,,"(43.46995202123602, -80.56034536034497)",43.46995202123602,-80.56034536034497,303,-1.0,524.4508080258992,24.97384800337095,63.956446733361666,N64°E
22,,"(43.47005071294634, -80.56006806241788)",43.47005071294634,-80.56006806241788,302,0.0,549.4246560292701,24.973847999521965,63.95663750917936,N64°E
23,,"(43.47014940398248, -80.55979076358844)",43.47014940398248,-80.55979076358844,302,0.0,574.398504028792,24.973848001679883,63.956828285179256,N64°E
24,,"(43.47024809434446, -80.55951346385659)",43.47024809434446,-80.55951346385659,302,0.0,599.3723520304719,24.973848002069783,63.957019057275204,N64°E
25,,"(43.47034678403228, -80.55923616322237)",43.47034678403228,-80.55923616322237,302,0.0,624.3462000325417,24.973847999631765,63.957209838762324,N64°E
26,,"(43.470445473045906, -80.55895886168578)",43.470445473045906,-80.55895886168578,302,0.0,649.3200480321734,24.9738480017865,63.957400615657434,N64°E
27,,"(43.47054416138536, -80.55868155924679)",43.47054416138536,-80.55868155924679,302,-2.0,674.2938960339599,24.973848001114288,63.95759139309729,N64°E
28,,"(43.470642849050634, -80.55840425590543)",43.470642849050634,-80.55840425590543,300,-1.0,699.2677440350742,24.97384800185363,63.95778217237094,N64°E
29,,"(43.47074153604173, -80.55812695166168)",43.47074153604173,-80.55812695166168,299,-1.0,724.2415920369278,24.97384800153218,63.95797295189051,N64°E
30,,"(43.47084022235862, -80.55784964651555)",43.47084022235862,-80.55784964651555,298,-1.0,749.21544003846,24.973848000502148,63.958163737185444,N64°E
31,,"(43.47093890800131, -80.55757234046705)",43.47093890800131,-80.55757234046705,297,0.0,774.1892880389621,24.973848002299416,63.95835451702888,N64°E
32,,"(43.47103759296979, -80.55729503351616)",43.47103759296979,-80.55729503351616,297,1.0,799.1631360412615,24.973848000915368,63.9585453035347,N64°E
33,,"(43.47113627726409, -80.55701772566289)",43.47113627726409,-80.55701772566289,298,0.0,824.1369840421769,24.973848000943192,63.95873608735429,N64°E
34,,"(43.471234960884146, -80.55674041690725)",43.471234960884146,-80.55674041690725,298,0.0,849.1108320431201,24.97384800132389,63.95892687213876,N64°E
35,,"(43.47133364383001, -80.55646310724921)",43.47133364383001,-80.55646310724921,298,0.0,874.084680044444,24.97384800135044,63.95911765759885,N64°E
36,,"(43.47143232610165, -80.5561857966888)",43.47143232610165,-80.5561857966888,298,0.0,899.0585280457944,24.97384800172838,63.959308447676236,N64°E
37,,"(43.471531007699056, -80.555908485226)",43.471531007699056,-80.555908485226,298,0.0,924.0323760475228,24.973847999985637,63.95949923435704,N64°E
38,,"(43.47162968862224, -80.55563117286084)",43.47162968862224,-80.55563117286084,298,0.0,949.0062240475085,24.97384800071566,63.95969002445932,N64°E
39,,"(43.47172836887118, -80.55535385959328)",43.47172836887118,-80.55535385959328,298,0.0,973.9800720482241,24.973848002151733,63.959880812192495,N64°E
40,,"(43.4718270484459, -80.55507654542335)",43.4718270484459,-80.55507654542335,298,0.0,998.9539200503758,24.973848000759624,63.96007160570116,N64°E
41,,"(43.471925727346374, -80.55479923035104)",43.471925727346374,-80.55479923035104,298,0.0,1023.9277680511354,24.973848000426297,63.960262398428455,N64°E
42,,"(43.4720244055726, -80.55452191437635)",43.4720244055726,-80.55452191437635,298,1.0,1048.9016160515616,24.973848001153097,63.96045319054228,N64°E
43,,"(43.47212308312456, -80.55424459749928)",43.47212308312456,-80.55424459749928,299,0.0,1073.8754640527147,24.973848000817963,63.96064398435371,N64°E
44,,"(43.47222176000228, -80.55396727971983)",43.47222176000228,-80.55396727971983,299,1.0,1098.8493120535327,24.973848000482118,63.960834783709245,N64°E
45,,"(43.47232043620573, -80.55368996103799)",43.47232043620573,-80.55368996103799,300,2.0,1123.8231600540148,24.97384800014463,63.96102557361006,N64°E
46,,"(43.472419111734915, -80.55341264145379)",43.472419111734915,-80.55341264145379,302,1.0,1148.7970080541595,24.97384800228113,63.96121637421763,N64°E
47,,"(43.47251778658985, -80.55313532096719)",43.47251778658985,-80.55313532096719,303,1.0,1173.7708560564406,24.973848000881667,63.96140717371088,N64°E
48,,"(43.47261646077049, -80.55285799957822)",43.47261646077049,-80.55285799957822,304,1.0,1198.7447040573222,24.97384800160292,63.96159797170027,N64°E
49,,"(43.47271513427686, -80.55258067728687)",43.47271513427686,-80.55258067728687,305,0.0,1223.718552058925,24.97384800055448,63.961788772418075,N64°E
50,,"(43.47281380710894, -80.55230335409314)",43.47281380710894,-80.55230335409314,305,1.0,1248.6924000594795,24.97384800056669,63.96197957299498,N64°E
51,,"(43.47291247926674, -80.55202602999704)",43.47291247926674,-80.55202602999704,306,-1.0,1273.6662480600462,24.9738480016381,63.96217037259805,N64°E
52,,"(43.47301115075025, -80.55174870499854)",43.47301115075025,-80.55174870499854,305,0.0,1298.6400960616843,24.973848000234007,63.96236117742889,N64°E
53,,"(43.47310982155946, -80.55147137909769)",43.47310982155946,-80.55147137909769,305,1.0,1323.6139440619183,24.973848000595545,63.96255198233723,N64°E
54,,"(43.47320849169437, -80.55119405229445)",43.47320849169437,-80.55119405229445,306,0.0,1348.587792062514,24.973848001311445,63.96274278330574,N64°E
55,,"(43.473307161154985, -80.55091672458883)",43.473307161154985,-80.55091672458883,306,1.0,1373.5616400638253,24.97384800025756,63.962933595208945,N64°E
56,,"(43.47340582994128, -80.55063939598082)",43.47340582994128,-80.55063939598082,307,1.0,1398.5354880640828,24.973848000970623,63.963124395018056,N64°E
57,,"(43.473504498053266, -80.55036206647046)",43.473504498053266,-80.55036206647046,308,0.0,1423.5093360650533,24.973848000269122,63.963315208168765,N64°E
58,,"(43.47360316549092, -80.5500847360577)",43.47360316549092,-80.5500847360577,308,1.0,1448.4831840653223,24.97384800133281,63.963506013840956,N64°E
59,,"(43.47370183225427, -80.54980740474257)",43.47370183225427,-80.54980740474257,309,0.0,1473.457032066655,24.973848001336904,63.96369682939263,N64°E
60,,"(43.47380049834328, -80.54953007252504)",43.47380049834328,-80.54953007252504,309,0.0,1498.430880067992,24.97384800133897,63.96388763449846,N64°E
61,,"(43.47389916375796, -80.54925273940516)",43.47389916375796,-80.54925273940516,309,1.0,1523.4047280693308,24.973848000987015,63.96407844883171,N64°E
62,,"(43.473997828498305, -80.54897540538289)",43.473997828498305,-80.54897540538289,310,-1.0,1548.3785760703179,24.973848002046754,63.96426926113435,N64°E
63,,"(43.474096492564314, -80.54869807045824)",43.474096492564314,-80.54869807045824,309,0.0,1573.3524240723646,24.973848000278938,63.964460072627666,N64°E
64,,"(43.474195155955975, -80.54842073463122)",43.474195155955975,-80.54842073463122,309,-2.0,1598.3262720726434,24.973848000631218,63.96465088799559,N64°E
65,,"(43.47429381867329, -80.54814339790182)",43.47429381867329,-80.54814339790182,307,-1.0,1623.3001200732747,24.97384800168873,63.964841704844645,N64°E
66,,"(43.47439248071624, -80.54786606027004)",43.47439248071624,-80.54786606027004,306,-1.0,1648.2739680749635,24.973847999211152,63.965032521134596,N64°E
67,,"(43.47449114208484, -80.54758872173589)",43.47449114208484,-80.54758872173589,305,0.0,1673.2478160741746,24.97384800203412,63.96522333623284,N64°E
68,,"(43.47458980277908, -80.54731138229936)",43.47458980277908,-80.54731138229936,305,0.0,1698.2216640762088,24.973848001674806,63.96541415886345,N64°E
69,,"(43.474688462798944, -80.54703404196044)",43.474688462798944,-80.54703404196044,305,-1.0,1723.1955120778834,24.973847999194206,63.965604976640705,N64°E
70,,"(43.474787122144434, -80.54675670071917)",43.474787122144434,-80.54675670071917,304,0.0,1748.1693600770777,24.97384800095395,63.965795795112115,N64°E
71,,"(43.474885780815555, -80.54647935857551)",43.474885780815555,-80.54647935857551,304,0.0,1773.1432080780316,24.973848000946326,63.965986618854046,N64°E
72,,"(43.47498443881229, -80.54620201552946)",43.47498443881229,-80.54620201552946,304,1.0,1798.117056078978,24.973848001643297,63.96617743938755,N64°E
73,,"(43.47508309613465, -80.54592467158105)",43.47508309613465,-80.54592467158105,305,1.0,1823.0909040806214,24.9738480016329,63.96636826396871,N64°E
74,,"(43.47518175278261, -80.54564732673026)",43.47518175278261,-80.54564732673026,306,0.0,1848.0647520822542,24.973848001975465,63.96655908808014,N64°E
75,,"(43.47528040875618, -80.54536998097709)",43.47528040875618,-80.54536998097709,306,1.0,1873.0386000842298,24.973847999842416,63.96674991215981,N64°E
76,,"(43.475379064055346, -80.54509263432155)",43.475379064055346,-80.54509263432155,307,1.0,1898.0124480840723,24.973848002303257,63.96694073916966,N64°E
77,,"(43.47547771868012, -80.54481528676362)",43.47547771868012,-80.54481528676362,308,-1.0,1922.9862960863754,24.973848001228642,63.96713156569771,N64°E
78,,"(43.47557637263047, -80.54453793830332)",43.47557637263047,-80.54453793830332,307,-2.0,1947.960144087604,24.973847999800014,63.96732239465832,N64°E
79,,"(43.47567502590641, -80.54426058894066)",43.47567502590641,-80.54426058894066,305,0.0,1972.933992087404,24.973848001551016,63.96751322223878,N64°E
80,,"(43.47577367850795, -80.54398323867561)",43.47577367850795,-80.54398323867561,305,-1.0,1997.907840088955,24.97384800082729,63.967704055894764,N64°E
81,,"(43.47587233043505, -80.54370588750818)",43.47587233043505,-80.54370588750818,304,0.0,2022.8816880897823,24.973848000809344,63.96789488585518,N64°E
82,,"(43.47597098168773, -80.54342853543838)",43.47597098168773,-80.54342853543838,304,0.0,2047.8555360905916,24.973848002204445,63.96808571722014,N64°E
83,,"(43.47606963226598, -80.5431511824662)",43.47606963226598,-80.5431511824662,304,0.0,2072.829384092796,24.973848001478068,63.96827654775785,N64°E
84,,"(43.4761682821698, -80.54287382859165)",43.4761682821698,-80.54287382859165,304,0.0,2097.803232094274,24.973848000396107,63.96846738700798,N64°E
85,,"(43.47626693139918, -80.54259647381473)",43.47626693139918,-80.54259647381473,304,0.0,2122.77708009467,24.973848001435133,63.96865821712761,N64°E
86,,"(43.47636557995411, -80.54231911813544)",43.47636557995411,-80.54231911813544,304,0.0,2147.7509280961053,24.97384800176502,63.96884905255907,N64°E
87,,"(43.476464227834605, -80.54204176155376)",43.476464227834605,-80.54204176155376,304,0.0,2172.7247760978703,24.973848000681766,63.96903989219919,N64°E
88,,"(43.47656287504064, -80.54176440406971)",43.47656287504064,-80.54176440406971,304,0.0,2197.698624098552,24.973848001010605,63.96923072848334,N64°E
89,,"(43.47666152157222, -80.54148704568328)",43.47666152157222,-80.54148704568328,304,0.0,2222.6724720995626,24.973848000631648,63.96942156911237,N64°E
90,,"(43.476760167429326, -80.54120968639448)",43.476760167429326,-80.54120968639448,304,-1.0,2247.6463201001943,24.97384800201846,63.969612404861394,N64°E
91,,"(43.47685881261198, -80.5409323262033)",43.47685881261198,-80.5409323262033,303,0.0,2272.6201681022126,24.973848000224283,63.969803248438716,N64°E
92,,"(43.47695745712016, -80.54065496510977)",43.47695745712016,-80.54065496510977,303,0.0,2297.594016102437,24.97384800054927,63.96999408990704,N64°E
93,,"(43.47705610095387, -80.54037760311384)",43.47705610095387,-80.54037760311384,303,0.0,2322.5678641029863,24.973848001226212,63.97018493307961,N64°E
94,,"(43.47715474411309, -80.54010024021554)",43.47715474411309,-80.54010024021554,303,0.0,2347.5417121042124,24.97384800013581,63.97037577692822,N64°E
95,,"(43.47725338659784, -80.53982287641486)",43.47725338659784,-80.53982287641486,303,1.0,2372.515560104348,24.97384800081111,63.97056662175254,N64°E
96,,"(43.477352028408085, -80.53954551171182)",43.477352028408085,-80.53954551171182,304,0.0,2397.489408105159,24.973848002192984,63.970757465924976,N64°E
97,,"(43.47745066954385, -80.5392681461064)",43.47745066954385,-80.5392681461064,304,0.0,2422.4632561073518,24.973848000745527,63.970948312830046,N64°E
98,,"(43.47754931000511, -80.5389907795986)",43.47754931000511,-80.5389907795986,304,1.0,2447.437104108097,24.973848001418208,63.97113916011149,N64°E
99,,"(43.47764794979187, -80.53871341218844)",43.47764794979187,-80.53871341218844,305,0.0,2472.410952109515,24.973848001029623,63.97133000806902,N64°E
100,,"(43.47774658890413, -80.5384360438759)",43.47774658890413,-80.5384360438759,305,1.0,2497.384800110545,24.97384800028715,63.97152086034569,N64°E
101,,"(43.477845227341874, -80.53815867466099)",43.477845227341874,-80.53815867466099,306,1.0,2522.358648110832,24.97384800201659,63.971711707469524,N64°E
102,,"(43.477943865105104, -80.5378813045437)",43.477943865105104,-80.5378813045437,307,0.0,2547.3324961128483,24.97384799879734,63.97190255994091,N64°E
